地名,センター,燃えるごみ,破砕ごみ,埋立ごみ,使用済筒型乾電池・蛍光管,飲料用空き缶,空きびん,ペットボトル,古紙,粗大ごみ
出雲（高松）白枝町浜町高松町,a,火 金,火1 火3,火4,火4,火1 火3,火2,木1,火 水 木,水3
出雲（高松）下横町松寄下町,a,火 金,水1 水3,水4,水4,水1 水3,水2,金3,火 水 木,水3
